wb1,wb2,wb3,wb4,wb5,pb,prize,daysin,daycos,year
7.00,17.00,35.00,37.00,44.00,30.00,14000000.00,-0.15,-0.99,7.96
3.00,6.00,17.00,37.00,41.00,8.00,12000000.00,-0.09,-1.00,7.96
1.00,7.00,8.00,21.00,37.00,2.00,10000000.00,-0.03,-1.00,7.98
5.00,10.00,12.00,20.00,40.00,3.00,151100000.00,0.03,-1.00,7.98
8.00,15.00,22.00,38.00,47.00,26.00,112000000.00,0.09,-1.00,7.99
12.00,15.00,17.00,23.00,49.00,7.00,88000000.00,0.15,-0.99,8.00
2.00,23.00,27.00,38.00,46.00,26.00,76000000.00,0.21,-0.98,8.01
2.00,4.00,8.00,14.00,38.00,1.00,66600000.00,0.26,-0.96,8.02
17.00,26.00,28.00,35.00,45.00,20.00,58500000.00,0.33,-0.94,8.03
7.00,32.00,35.00,38.00,48.00,17.00,50700000.00,0.38,-0.93,8.04
2.00,8.00,16.00,37.00,49.00,11.00,44700000.00,0.44,-0.90,8.05
4.00,20.00,24.00,46.00,48.00,32.00,38500000.00,0.49,-0.87,8.06
5.00,35.00,36.00,43.00,45.00,19.00,33900000.00,0.55,-0.84,8.07
26.00,29.00,34.00,36.00,37.00,24.00,28700000.00,0.59,-0.81,8.08
6.00,15.00,18.00,36.00,43.00,11.00,24500000.00,0.64,-0.77,8.09
4.00,9.00,24.00,35.00,41.00,31.00,20000000.00,0.68,-0.73,8.10
4.00,24.00,27.00,30.00,38.00,14.00,17000000.00,0.73,-0.68,8.11
4.00,5.00,12.00,38.00,40.00,28.00,14000000.00,0.76,-0.65,8.12
25.00,28.00,30.00,34.00,47.00,14.00,12000000.00,0.81,-0.59,8.13
7.00,9.00,26.00,31.00,40.00,24.00,10000000.00,0.84,-0.55,8.14
7.00,9.00,20.00,26.00,27.00,18.00,46900000.00,0.87,-0.49,8.15
5.00,7.00,12.00,18.00,42.00,14.00,40800000.00,0.90,-0.44,8.16
1.00,3.00,35.00,45.00,48.00,18.00,35500000.00,0.92,-0.38,8.17
3.00,11.00,32.00,41.00,45.00,29.00,30000000.00,0.94,-0.33,8.17
15.00,18.00,25.00,40.00,43.00,37.00,25500000.00,0.96,-0.27,8.19
10.00,12.00,19.00,25.00,40.00,33.00,20300000.00,0.98,-0.22,8.19
3.00,24.00,34.00,42.00,45.00,1.00,17000000.00,0.99,-0.15,8.20
5.00,26.00,31.00,37.00,39.00,42.00,14000000.00,1.00,-0.10,8.21
1.00,4.00,10.00,17.00,30.00,6.00,12000000.00,1.00,-0.03,8.22
3.00,15.00,16.00,28.00,39.00,1.00,10000000.00,1.00,0.02,8.23
5.00,12.00,13.00,45.00,48.00,35.00,70200000.00,1.00,0.09,8.24
7.00,19.00,20.00,26.00,27.00,12.00,59500000.00,0.99,0.14,8.25
4.00,20.00,22.00,40.00,41.00,7.00,51600000.00,0.98,0.21,8.26
9.00,15.00,31.00,37.00,40.00,9.00,44700000.00,0.97,0.26,8.27
8.00,11.00,42.00,44.00,49.00,39.00,39200000.00,0.95,0.33,8.28
1.00,14.00,26.00,34.00,49.00,15.00,33600000.00,0.93,0.37,8.29
13.00,19.00,20.00,25.00,42.00,13.00,29000000.00,0.90,0.44,8.30
1.00,8.00,12.00,42.00,44.00,13.00,24100000.00,0.88,0.48,8.31
13.00,20.00,30.00,32.00,46.00,36.00,20000000.00,0.84,0.54,8.32
8.00,15.00,29.00,40.00,46.00,23.00,16000000.00,0.81,0.58,8.33
6.00,15.00,16.00,24.00,39.00,12.00,14000000.00,0.77,0.64,8.34
10.00,21.00,22.00,25.00,36.00,39.00,12000000.00,0.74,0.68,8.35
4.00,9.00,18.00,27.00,35.00,11.00,10000000.00,0.69,0.73,8.36
10.00,20.00,27.00,31.00,42.00,26.00,28400000.00,0.65,0.76,8.37
15.00,25.00,32.00,39.00,48.00,32.00,24200000.00,0.59,0.80,8.38
20.00,26.00,30.00,39.00,42.00,32.00,19100000.00,0.55,0.83,8.39
19.00,24.00,25.00,40.00,45.00,5.00,16000000.00,0.49,0.87,8.40
2.00,4.00,20.00,23.00,44.00,22.00,14000000.00,0.45,0.89,8.40
3.00,19.00,26.00,30.00,49.00,31.00,12000000.00,0.39,0.92,8.42
2.00,12.00,19.00,40.00,48.00,27.00,10000000.00,0.34,0.94,8.42
2.00,15.00,20.00,28.00,40.00,15.00,67100000.00,0.27,0.96,8.43
15.00,31.00,33.00,43.00,47.00,6.00,58000000.00,0.22,0.98,8.44
5.00,10.00,11.00,27.00,32.00,13.00,50900000.00,0.15,0.99,8.45
2.00,9.00,13.00,16.00,44.00,36.00,44700000.00,0.10,0.99,8.46
4.00,17.00,23.00,26.00,39.00,27.00,39700000.00,0.03,1.00,8.47
23.00,26.00,29.00,38.00,46.00,35.00,10000000.00,-0.02,1.00,8.48
15.00,22.00,24.00,32.00,39.00,18.00,32800000.00,-0.07,1.00,8.49
6.00,11.00,15.00,22.00,27.00,27.00,28700000.00,-0.14,0.99,8.50
4.00,7.00,31.00,34.00,41.00,28.00,24000000.00,-0.19,0.98,8.51
2.00,26.00,33.00,34.00,39.00,23.00,20000000.00,-0.25,0.97,8.52
6.00,10.00,19.00,38.00,43.00,41.00,16000000.00,-0.30,0.95,8.53
8.00,10.00,14.00,41.00,42.00,20.00,14000000.00,-0.37,0.93,8.54
7.00,15.00,20.00,23.00,45.00,17.00,12000000.00,-0.42,0.91,8.55
11.00,14.00,22.00,38.00,41.00,39.00,10000000.00,-0.48,0.88,8.56
1.00,4.00,20.00,27.00,29.00,17.00,130700000.00,-0.52,0.85,8.57
2.00,37.00,38.00,39.00,42.00,22.00,104600000.00,-0.58,0.82,8.58
5.00,18.00,40.00,44.00,47.00,34.00,89700000.00,-0.62,0.78,8.59
3.00,27.00,31.00,32.00,41.00,33.00,76500000.00,-0.67,0.74,8.60
12.00,26.00,32.00,41.00,46.00,18.00,68200000.00,-0.71,0.70,8.61
4.00,12.00,21.00,38.00,46.00,37.00,60300000.00,-0.76,0.65,8.61
13.00,17.00,37.00,45.00,49.00,4.00,53100000.00,-0.79,0.61,8.63
5.00,9.00,22.00,34.00,42.00,2.00,47500000.00,-0.83,0.56,8.63
4.00,10.00,14.00,29.00,39.00,10.00,41600000.00,-0.86,0.51,8.64
6.00,11.00,32.00,37.00,47.00,13.00,36900000.00,-0.89,0.45,8.65
3.00,5.00,20.00,45.00,46.00,37.00,32300000.00,-0.91,0.41,8.66
13.00,19.00,24.00,44.00,45.00,16.00,28300000.00,-0.94,0.34,8.67
17.00,21.00,28.00,42.00,43.00,25.00,23800000.00,-0.96,0.30,8.68
14.00,16.00,18.00,22.00,41.00,37.00,20400000.00,-0.97,0.23,8.69
26.00,32.00,41.00,44.00,45.00,35.00,18000000.00,-0.98,0.18,8.70
4.00,7.00,27.00,34.00,39.00,1.00,16000000.00,-0.99,0.11,8.71
3.00,16.00,24.00,34.00,48.00,3.00,14000000.00,-1.00,0.06,8.72
19.00,24.00,32.00,43.00,44.00,39.00,12000000.00,-1.00,-0.01,8.73
24.00,32.00,42.00,44.00,47.00,15.00,10000000.00,-1.00,-0.06,8.74
1.00,17.00,27.00,35.00,36.00,31.00,28700000.00,-0.99,-0.13,8.75
17.00,21.00,23.00,33.00,45.00,11.00,24500000.00,-0.98,-0.18,8.76
1.00,19.00,40.00,47.00,49.00,14.00,20900000.00,-0.97,-0.25,8.77
2.00,13.00,21.00,22.00,47.00,31.00,18000000.00,-0.96,-0.30,8.78
14.00,18.00,20.00,29.00,42.00,2.00,16000000.00,-0.93,-0.36,8.79
4.00,6.00,12.00,28.00,42.00,6.00,14000000.00,-0.91,-0.41,8.80
5.00,14.00,20.00,22.00,26.00,35.00,12000000.00,-0.88,-0.47,8.81
4.00,25.00,29.00,36.00,46.00,8.00,10000000.00,-0.86,-0.51,8.82
16.00,22.00,27.00,40.00,43.00,5.00,14000000.00,-0.82,-0.57,8.83
20.00,28.00,40.00,43.00,47.00,31.00,12000000.00,-0.79,-0.61,8.84
10.00,13.00,17.00,23.00,36.00,23.00,10000000.00,-0.75,-0.67,8.84
15.00,16.00,27.00,44.00,47.00,14.00,22900000.00,-0.71,-0.70,8.86
6.00,31.00,38.00,46.00,47.00,21.00,19000000.00,-0.66,-0.75,8.86
11.00,17.00,18.00,19.00,28.00,34.00,16000000.00,-0.62,-0.78,8.87
13.00,28.00,32.00,33.00,38.00,14.00,14000000.00,-0.57,-0.82,8.88
12.00,27.00,33.00,42.00,49.00,31.00,12000000.00,-0.52,-0.85,8.89
11.00,24.00,26.00,38.00,41.00,7.00,10000000.00,-0.46,-0.89,8.90
3.00,20.00,22.00,37.00,44.00,36.00,10000000.00,-0.42,-0.91,8.91
2.00,12.00,15.00,33.00,41.00,33.00,65400000.00,-0.35,-0.94,8.92
5.00,8.00,18.00,36.00,38.00,40.00,56700000.00,-0.30,-0.95,8.93
5.00,8.00,21.00,46.00,49.00,34.00,50600000.00,-0.24,-0.97,8.94
6.00,9.00,10.00,26.00,48.00,10.00,44500000.00,-0.19,-0.98,8.95
2.00,7.00,10.00,34.00,39.00,12.00,39600000.00,-0.12,-0.99,8.96
10.00,14.00,18.00,32.00,33.00,2.00,35000000.00,-0.07,-1.00,8.97
13.00,14.00,22.00,32.00,42.00,26.00,30900000.00,0.00,-1.00,8.98
13.00,24.00,27.00,30.00,45.00,18.00,26300000.00,0.05,-1.00,8.99
2.00,13.00,26.00,27.00,49.00,4.00,22400000.00,0.12,-0.99,9.00
1.00,24.00,27.00,28.00,43.00,25.00,18200000.00,0.17,-0.99,9.01
6.00,15.00,25.00,44.00,47.00,7.00,16000000.00,0.24,-0.97,9.02
21.00,23.00,32.00,34.00,42.00,5.00,14000000.00,0.29,-0.96,9.03
2.00,16.00,32.00,40.00,47.00,15.00,12000000.00,0.35,-0.94,9.04
19.00,39.00,45.00,46.00,49.00,17.00,10000000.00,0.40,-0.92,9.05
13.00,14.00,15.00,31.00,37.00,10.00,12000000.00,0.46,-0.89,9.05
15.00,16.00,22.00,42.00,43.00,11.00,10000000.00,0.51,-0.86,9.07
2.00,22.00,29.00,30.00,44.00,36.00,60600000.00,0.57,-0.82,9.07
7.00,19.00,43.00,46.00,47.00,4.00,53300000.00,0.61,-0.79,9.08
5.00,17.00,40.00,44.00,48.00,26.00,46800000.00,0.66,-0.75,9.09
16.00,17.00,20.00,28.00,49.00,34.00,40900000.00,0.70,-0.72,9.10
1.00,3.00,27.00,38.00,42.00,24.00,35100000.00,0.75,-0.67,9.11
8.00,18.00,20.00,31.00,47.00,11.00,29400000.00,0.78,-0.63,9.12
4.00,27.00,29.00,39.00,41.00,16.00,24100000.00,0.82,-0.57,9.13
5.00,13.00,34.00,41.00,48.00,7.00,18200000.00,0.85,-0.53,9.14
12.00,14.00,26.00,35.00,36.00,37.00,14000000.00,0.88,-0.47,9.15
5.00,10.00,17.00,24.00,37.00,15.00,12000000.00,0.91,-0.42,9.16
3.00,5.00,9.00,42.00,48.00,35.00,10000000.00,0.93,-0.36,9.17
3.00,8.00,9.00,20.00,49.00,22.00,79700000.00,0.95,-0.31,9.18
15.00,26.00,28.00,40.00,48.00,9.00,69600000.00,0.97,-0.25,9.19
4.00,6.00,20.00,25.00,31.00,6.00,59900000.00,0.98,-0.20,9.20
4.00,9.00,12.00,33.00,48.00,18.00,52500000.00,0.99,-0.13,9.21
6.00,8.00,11.00,18.00,39.00,40.00,46000000.00,1.00,-0.08,9.22
3.00,4.00,13.00,29.00,38.00,21.00,40100000.00,1.00,-0.01,9.23
12.00,32.00,37.00,40.00,49.00,37.00,33700000.00,1.00,0.04,9.24
6.00,30.00,43.00,45.00,48.00,32.00,28500000.00,0.99,0.11,9.25
3.00,12.00,30.00,41.00,46.00,32.00,23000000.00,0.99,0.16,9.26
12.00,30.00,39.00,43.00,46.00,10.00,18000000.00,0.97,0.23,9.27
14.00,15.00,19.00,38.00,44.00,20.00,14000000.00,0.96,0.28,9.28
2.00,11.00,23.00,28.00,31.00,39.00,12000000.00,0.94,0.34,9.28
11.00,14.00,17.00,25.00,36.00,38.00,10000000.00,0.92,0.39,9.30
3.00,6.00,8.00,43.00,48.00,1.00,150200000.00,0.89,0.45,9.30
21.00,22.00,29.00,30.00,38.00,39.00,107000000.00,0.87,0.50,9.32
7.00,9.00,23.00,37.00,49.00,7.00,83000000.00,0.83,0.56,9.32
12.00,16.00,20.00,26.00,32.00,35.00,69900000.00,0.80,0.60,9.33
14.00,23.00,24.00,45.00,48.00,21.00,59500000.00,0.76,0.65,9.34
9.00,10.00,12.00,31.00,41.00,37.00,51300000.00,0.72,0.69,9.35
21.00,24.00,37.00,44.00,45.00,24.00,44300000.00,0.67,0.74,9.36
5.00,29.00,36.00,40.00,49.00,30.00,37900000.00,0.63,0.77,9.37
6.00,11.00,34.00,41.00,44.00,20.00,32800000.00,0.58,0.82,9.38
6.00,10.00,12.00,16.00,29.00,33.00,27800000.00,0.54,0.84,9.39
6.00,8.00,28.00,32.00,47.00,26.00,23500000.00,0.48,0.88,9.40
18.00,25.00,30.00,43.00,46.00,18.00,19100000.00,0.43,0.90,9.41
4.00,16.00,32.00,34.00,41.00,25.00,16000000.00,0.37,0.93,9.42
12.00,31.00,35.00,37.00,44.00,34.00,14000000.00,0.32,0.95,9.43
1.00,6.00,21.00,33.00,40.00,28.00,12000000.00,0.25,0.97,9.44
9.00,32.00,38.00,41.00,44.00,27.00,10000000.00,0.20,0.98,9.45
7.00,28.00,35.00,40.00,48.00,14.00,31800000.00,0.14,0.99,9.46
5.00,15.00,16.00,28.00,32.00,39.00,26900000.00,0.09,1.00,9.47
9.00,13.00,23.00,36.00,45.00,39.00,23000000.00,0.02,1.00,9.48
10.00,15.00,27.00,43.00,45.00,31.00,33500000.00,-0.03,1.00,9.49
8.00,19.00,23.00,39.00,41.00,21.00,28300000.00,-0.09,1.00,9.50
14.00,24.00,27.00,33.00,34.00,6.00,24400000.00,-0.15,0.99,9.51
20.00,26.00,35.00,36.00,43.00,23.00,19800000.00,-0.21,0.98,9.52
8.00,11.00,13.00,22.00,37.00,17.00,16000000.00,-0.27,0.96,9.53
4.00,20.00,35.00,43.00,47.00,27.00,14000000.00,-0.32,0.95,9.53
17.00,26.00,31.00,35.00,48.00,35.00,12000000.00,-0.39,0.92,9.55
8.00,9.00,13.00,14.00,21.00,37.00,10000000.00,-0.43,0.90,9.55
6.00,38.00,41.00,46.00,48.00,37.00,29400000.00,-0.49,0.87,9.56
5.00,15.00,18.00,24.00,48.00,16.00,24500000.00,-0.54,0.84,9.57
10.00,12.00,27.00,37.00,42.00,30.00,20400000.00,-0.59,0.80,9.58
27.00,28.00,31.00,38.00,41.00,13.00,16200000.00,-0.64,0.77,9.59
1.00,7.00,10.00,27.00,35.00,34.00,14000000.00,-0.69,0.73,9.60
4.00,17.00,28.00,30.00,40.00,3.00,12000000.00,-0.72,0.69,9.61
7.00,13.00,16.00,33.00,38.00,13.00,10000000.00,-0.77,0.64,9.62
2.00,4.00,6.00,17.00,25.00,31.00,55200000.00,-0.80,0.60,9.63
6.00,14.00,36.00,37.00,49.00,20.00,49600000.00,-0.84,0.54,9.64
2.00,16.00,18.00,35.00,40.00,41.00,44900000.00,-0.87,0.50,9.65
1.00,10.00,17.00,28.00,45.00,20.00,40000000.00,-0.90,0.44,9.66
6.00,15.00,24.00,27.00,42.00,32.00,34900000.00,-0.92,0.39,9.67
7.00,16.00,33.00,40.00,47.00,33.00,30400000.00,-0.95,0.33,9.68
5.00,7.00,29.00,40.00,46.00,5.00,25400000.00,-0.96,0.28,9.69
37.00,40.00,41.00,46.00,48.00,20.00,21200000.00,-0.98,0.21,9.70
1.00,7.00,8.00,16.00,19.00,37.00,16500000.00,-0.99,0.16,9.71
1.00,5.00,9.00,21.00,31.00,12.00,14000000.00,-1.00,0.09,9.72
2.00,20.00,23.00,35.00,49.00,25.00,12000000.00,-1.00,0.04,9.73
2.00,15.00,21.00,29.00,47.00,12.00,10000000.00,-1.00,-0.03,9.74
18.00,26.00,30.00,35.00,44.00,19.00,48300000.00,-1.00,-0.08,9.75
23.00,27.00,34.00,39.00,42.00,40.00,42800000.00,-0.99,-0.15,9.76
21.00,26.00,28.00,31.00,41.00,29.00,36500000.00,-0.98,-0.20,9.76
19.00,28.00,33.00,43.00,49.00,23.00,31500000.00,-0.96,-0.27,9.78
13.00,25.00,35.00,39.00,47.00,1.00,26600000.00,-0.95,-0.32,9.78
6.00,12.00,13.00,28.00,48.00,26.00,22000000.00,-0.92,-0.38,9.79
14.00,18.00,24.00,33.00,42.00,8.00,16400000.00,-0.90,-0.43,9.80
7.00,24.00,27.00,30.00,44.00,29.00,12000000.00,-0.87,-0.49,9.81
4.00,9.00,32.00,35.00,49.00,28.00,10000000.00,-0.85,-0.53,9.82
8.00,17.00,22.00,42.00,47.00,21.00,295000000.00,-0.81,-0.59,9.83
2.00,28.00,30.00,36.00,39.00,10.00,193500000.00,-0.77,-0.63,9.84
3.00,14.00,20.00,22.00,48.00,17.00,129100000.00,-0.73,-0.68,9.85
29.00,37.00,40.00,43.00,44.00,6.00,103500000.00,-0.69,-0.72,9.86
11.00,14.00,20.00,25.00,41.00,8.00,85600000.00,-0.64,-0.77,9.87
2.00,10.00,25.00,37.00,41.00,2.00,75500000.00,-0.60,-0.80,9.88
16.00,20.00,24.00,26.00,46.00,9.00,66700000.00,-0.55,-0.84,9.89
24.00,25.00,26.00,34.00,39.00,31.00,58600000.00,-0.50,-0.87,9.90
4.00,23.00,33.00,36.00,45.00,29.00,52400000.00,-0.44,-0.90,9.91
16.00,23.00,29.00,37.00,39.00,17.00,45900000.00,-0.39,-0.92,9.92
3.00,15.00,19.00,20.00,27.00,20.00,40900000.00,-0.33,-0.94,9.93
4.00,9.00,26.00,31.00,49.00,2.00,35700000.00,-0.28,-0.96,9.94
1.00,13.00,15.00,27.00,41.00,2.00,31300000.00,-0.21,-0.98,9.95
10.00,16.00,18.00,24.00,26.00,13.00,26900000.00,-0.16,-0.99,9.96
3.00,9.00,22.00,34.00,46.00,17.00,22800000.00,-0.09,-1.00,9.97
3.00,25.00,26.00,28.00,30.00,10.00,18500000.00,-0.04,-1.00,9.98
3.00,6.00,33.00,34.00,39.00,15.00,16000000.00,0.03,-1.00,9.99
3.00,7.00,13.00,16.00,35.00,22.00,14000000.00,0.08,-1.00,9.99
6.00,35.00,38.00,40.00,42.00,36.00,12000000.00,0.15,-0.99,10.01
5.00,9.00,14.00,18.00,49.00,32.00,10000000.00,0.20,-0.98,10.01
2.00,13.00,17.00,44.00,45.00,14.00,19600000.00,0.26,-0.96,10.02
9.00,32.00,34.00,36.00,41.00,14.00,16000000.00,0.31,-0.95,10.03
20.00,23.00,37.00,42.00,43.00,27.00,14000000.00,0.38,-0.93,10.04
10.00,20.00,21.00,40.00,45.00,22.00,12000000.00,0.43,-0.91,10.05
10.00,17.00,26.00,45.00,48.00,38.00,10000000.00,0.49,-0.87,10.06
11.00,12.00,28.00,36.00,43.00,9.00,61900000.00,0.53,-0.85,10.07
9.00,10.00,21.00,24.00,40.00,36.00,55800000.00,0.59,-0.81,10.08
19.00,21.00,32.00,34.00,49.00,38.00,48900000.00,0.63,-0.78,10.09
6.00,10.00,21.00,47.00,49.00,2.00,43900000.00,0.68,-0.73,10.10
12.00,13.00,20.00,28.00,44.00,17.00,38200000.00,0.72,-0.70,10.11
11.00,16.00,28.00,29.00,36.00,21.00,33600000.00,0.76,-0.65,10.12
9.00,14.00,19.00,22.00,49.00,34.00,28600000.00,0.80,-0.61,10.13
7.00,9.00,19.00,20.00,45.00,5.00,24400000.00,0.84,-0.55,10.14
2.00,19.00,30.00,36.00,42.00,19.00,20000000.00,0.86,-0.50,10.15
1.00,11.00,20.00,34.00,39.00,37.00,16000000.00,0.90,-0.44,10.16
14.00,26.00,28.00,29.00,39.00,39.00,14000000.00,0.92,-0.40,10.17
5.00,24.00,25.00,30.00,38.00,40.00,12000000.00,0.94,-0.33,10.18
6.00,11.00,18.00,20.00,44.00,39.00,10000000.00,0.96,-0.28,10.19
3.00,8.00,16.00,29.00,30.00,4.00,83900000.00,0.98,-0.22,10.20
4.00,21.00,32.00,39.00,41.00,31.00,74100000.00,0.99,-0.17,10.21
18.00,20.00,31.00,37.00,41.00,1.00,66100000.00,1.00,-0.10,10.22
5.00,12.00,13.00,16.00,43.00,11.00,58800000.00,1.00,-0.05,10.22
11.00,27.00,37.00,39.00,41.00,42.00,52500000.00,1.00,0.02,10.24
4.00,12.00,27.00,31.00,43.00,20.00,45200000.00,1.00,0.07,10.24
2.00,28.00,37.00,40.00,49.00,22.00,40000000.00,0.99,0.14,10.25
13.00,14.00,18.00,20.00,21.00,16.00,34700000.00,0.98,0.19,10.26
15.00,16.00,18.00,20.00,36.00,18.00,30100000.00,0.97,0.26,10.27
12.00,22.00,27.00,42.00,49.00,34.00,25300000.00,0.95,0.31,10.28
12.00,19.00,26.00,30.00,33.00,11.00,21000000.00,0.93,0.37,10.29
9.00,23.00,32.00,40.00,45.00,31.00,16000000.00,0.91,0.42,10.30
8.00,9.00,23.00,36.00,44.00,15.00,14000000.00,0.88,0.48,10.31
1.00,3.00,9.00,46.00,47.00,22.00,12000000.00,0.85,0.53,10.32
29.00,30.00,34.00,41.00,49.00,37.00,10000000.00,0.81,0.58,10.33
4.00,10.00,32.00,39.00,45.00,25.00,93500000.00,0.78,0.63,10.34
4.00,22.00,31.00,39.00,41.00,6.00,79900000.00,0.74,0.68,10.35
5.00,18.00,29.00,41.00,42.00,16.00,68900000.00,0.70,0.71,10.36
16.00,38.00,41.00,46.00,47.00,25.00,60600000.00,0.65,0.76,10.37
4.00,6.00,7.00,31.00,33.00,20.00,53100000.00,0.61,0.79,10.38
21.00,27.00,29.00,41.00,44.00,9.00,47000000.00,0.55,0.83,10.39
15.00,21.00,27.00,37.00,47.00,16.00,41800000.00,0.51,0.86,10.40
8.00,19.00,32.00,41.00,45.00,37.00,36800000.00,0.45,0.89,10.41
31.00,34.00,39.00,42.00,49.00,26.00,30900000.00,0.40,0.92,10.42
1.00,11.00,25.00,29.00,36.00,40.00,26700000.00,0.34,0.94,10.43
9.00,16.00,28.00,31.00,48.00,36.00,22400000.00,0.29,0.96,10.44
14.00,19.00,23.00,29.00,42.00,26.00,18600000.00,0.22,0.98,10.45
6.00,9.00,22.00,23.00,35.00,6.00,16000000.00,0.17,0.99,10.45
1.00,22.00,24.00,39.00,43.00,26.00,14000000.00,0.10,0.99,10.47
9.00,19.00,29.00,38.00,49.00,20.00,12000000.00,0.05,1.00,10.47
2.00,15.00,38.00,43.00,50.00,29.00,10000000.00,-0.05,1.00,10.48
5.00,14.00,16.00,29.00,53.00,7.00,314900000.00,-0.10,0.99,10.49
5.00,22.00,34.00,39.00,52.00,30.00,217800000.00,-0.17,0.99,10.50
2.00,14.00,33.00,50.00,52.00,22.00,163300000.00,-0.22,0.98,10.51
8.00,17.00,24.00,42.00,44.00,37.00,129200000.00,-0.29,0.96,10.52
6.00,12.00,14.00,22.00,33.00,21.00,106000000.00,-0.34,0.94,10.53
3.00,17.00,27.00,32.00,48.00,1.00,89200000.00,-0.40,0.92,10.54
13.00,20.00,21.00,35.00,40.00,35.00,78000000.00,-0.45,0.89,10.55
1.00,4.00,19.00,21.00,29.00,8.00,68200000.00,-0.51,0.86,10.56
1.00,20.00,25.00,40.00,53.00,19.00,59700000.00,-0.55,0.83,10.57
15.00,16.00,19.00,21.00,49.00,5.00,51700000.00,-0.61,0.79,10.58
14.00,21.00,22.00,29.00,44.00,3.00,43500000.00,-0.65,0.76,10.59
32.00,33.00,35.00,40.00,51.00,1.00,36600000.00,-0.70,0.71,10.60
18.00,23.00,31.00,38.00,50.00,20.00,29500000.00,-0.74,0.68,10.61
30.00,36.00,38.00,40.00,53.00,8.00,23600000.00,-0.78,0.63,10.62
9.00,11.00,12.00,17.00,19.00,23.00,17100000.00,-0.81,0.58,10.63
8.00,15.00,32.00,34.00,35.00,34.00,12000000.00,-0.85,0.53,10.64
9.00,16.00,19.00,23.00,41.00,12.00,10000000.00,-0.88,0.48,10.65
12.00,14.00,27.00,33.00,39.00,41.00,83500000.00,-0.91,0.42,10.66
2.00,14.00,18.00,30.00,31.00,36.00,72100000.00,-0.93,0.37,10.67
4.00,18.00,20.00,25.00,42.00,29.00,62600000.00,-0.95,0.31,10.68
8.00,11.00,24.00,31.00,37.00,41.00,50800000.00,-0.97,0.26,10.68
23.00,26.00,46.00,49.00,52.00,28.00,43900000.00,-0.98,0.19,10.70
9.00,10.00,38.00,42.00,43.00,5.00,36400000.00,-0.99,0.14,10.70
14.00,19.00,22.00,39.00,43.00,12.00,27000000.00,-1.00,0.07,10.72
2.00,4.00,5.00,38.00,43.00,34.00,22100000.00,-1.00,0.02,10.72
12.00,22.00,24.00,31.00,35.00,8.00,17700000.00,-1.00,-0.05,10.73
1.00,12.00,23.00,36.00,49.00,9.00,14000000.00,-1.00,-0.10,10.74
3.00,11.00,28.00,40.00,45.00,33.00,12000000.00,-0.99,-0.17,10.75
6.00,27.00,32.00,42.00,44.00,10.00,10000000.00,-0.98,-0.22,10.76
5.00,14.00,26.00,31.00,40.00,29.00,103500000.00,-0.96,-0.28,10.77
3.00,6.00,26.00,39.00,48.00,28.00,87000000.00,-0.94,-0.33,10.78
6.00,12.00,19.00,24.00,34.00,18.00,77300000.00,-0.92,-0.40,10.79
15.00,18.00,26.00,31.00,36.00,20.00,70100000.00,-0.90,-0.44,10.80
12.00,14.00,22.00,29.00,41.00,41.00,62400000.00,-0.86,-0.50,10.81
24.00,30.00,36.00,37.00,38.00,42.00,55300000.00,-0.84,-0.55,10.82
5.00,10.00,18.00,24.00,45.00,20.00,49100000.00,-0.80,-0.61,10.83
1.00,6.00,43.00,47.00,48.00,36.00,42600000.00,-0.76,-0.65,10.84
3.00,26.00,33.00,42.00,46.00,41.00,37300000.00,-0.72,-0.70,10.85
4.00,16.00,19.00,33.00,41.00,29.00,32000000.00,-0.68,-0.73,10.86
11.00,16.00,21.00,27.00,35.00,31.00,27200000.00,-0.63,-0.78,10.87
13.00,35.00,40.00,46.00,47.00,35.00,22100000.00,-0.59,-0.81,10.88
13.00,19.00,24.00,33.00,34.00,41.00,17700000.00,-0.53,-0.85,10.89
2.00,4.00,6.00,22.00,34.00,26.00,14000000.00,-0.49,-0.87,10.90
2.00,5.00,17.00,22.00,44.00,30.00,12000000.00,-0.43,-0.91,10.91
16.00,19.00,22.00,34.00,37.00,20.00,10000000.00,-0.38,-0.93,10.92
2.00,3.00,6.00,13.00,26.00,10.00,41500000.00,-0.31,-0.95,10.93
10.00,11.00,25.00,40.00,45.00,25.00,35000000.00,-0.26,-0.96,10.93
3.00,22.00,37.00,42.00,49.00,8.00,30200000.00,-0.20,-0.98,10.95
26.00,31.00,37.00,43.00,45.00,32.00,25500000.00,-0.15,-0.99,10.95
2.00,9.00,27.00,36.00,39.00,13.00,20900000.00,-0.08,-1.00,10.96
7.00,19.00,38.00,48.00,49.00,10.00,16500000.00,-0.03,-1.00,10.97
4.00,33.00,35.00,36.00,45.00,22.00,14000000.00,0.04,-1.00,10.98
6.00,9.00,17.00,23.00,24.00,14.00,12000000.00,0.09,-1.00,10.99
1.00,16.00,26.00,37.00,48.00,9.00,10000000.00,0.16,-0.99,11.00
1.00,3.00,4.00,7.00,11.00,23.00,14000000.00,0.21,-0.98,11.01
7.00,8.00,16.00,42.00,43.00,15.00,12000000.00,0.28,-0.96,11.02
13.00,18.00,27.00,39.00,49.00,20.00,10000000.00,0.33,-0.94,11.03
26.00,37.00,42.00,46.00,48.00,38.00,30600000.00,0.39,-0.92,11.04
1.00,18.00,21.00,36.00,47.00,33.00,25500000.00,0.44,-0.90,11.05
